36404,BA 215 - -BU - -A,PRINCIPLES OF MARKETING,"Reichert, Eric",Open,6/35,MW (08:00am-09:20am) H 214,4
36405,BA 248 - -BU - -A,QUANTITATIVE METHODS/OPERATIONS MANAGEMENT (EGR 248),"Angelis, John",Open,27/35,MWF (09:30am-10:40am) H 214,4
36407,BA 248 - -BU - -B,QUANTITATIVE METHODS/OPERATIONS MANAGEMENT (EGR 248),"Angelis, John",Open,12/49,MWF (12:30pm-01:40pm) H 114,4
36409,BA 257 - -BU - -A,EXPORTING AND IMPORTING,"Holobetz, Basil",Open,18/30,T (07:40am-09:15am) H 211,2
36410,BA 258 - -BU - -A,GLOBAL BUSINESS NEGOTIATIONS,"Holobetz, Basil",Open,0/30,T (09:20am-10:55am) H 211,2
36411,BA 265 - -BU - -A,MANAGEMENT AND ORGANIZATIONAL BEHAVIOR,"Angelis, John",Closed,26/30,MWF (02:00pm-03:10pm) H 212,4
36412,BA 271 - -BU - -A,STRATEGIC MANAGERIAL DECISION- MAKING AND CRITICAL ANALYSIS II,"Ozkanca, Kemal",Closed,0/24,01/14/2019 - 05/10/2019,2
36413,BA 271 - -BU - -B,STRATEGIC MANAGERIAL DECISION- MAKING AND CRITICAL ANALYSIS II,"Ozkanca, Kemal",Open,0/24,01/14/2019 - 05/10/2019,2
36414,BA 271 - -BU - -C,STRATEGIC MANAGERIAL DECISION- MAKING AND CRITICAL ANALYSIS II,"Ozkanca, Kemal",Closed,9/24,01/14/2019 - 05/10/2019,2
36869,BA 271 - -BU - -D,STRATEGIC MANAGERIAL DECISION- MAKING AND CRITICAL ANALYSIS II,"Ozkanca, Kemal",Open,12/30,01/14/2019 - 05/10/2019,2
36442,BA 314 - -BU - -A,SALES AND SALES MANAGEMENT,"Innerst, Robert",Open,0/35,TH (02:00pm-03:40pm) H 114,4
36419,BA 330 - -BU - -A,LEGAL ENVIRONMENT OF BUSINESS,"Melvin, Sean",Open,0/35,TH (09:20am-10:55am) H 212,4
36241,BA 347 - -BU - -A,GLOBAL SUPPLY CHAIN MANAGEMENT (EGR 347),"Traub, Tod",Open,0/35,TH (06:00pm-07:20pm) E 164,4
36841,BA 370 - -BU - -A,INTERNSHIP/CO-OP,"Melvin, Sean",Open,0/35,By Arrangement,12
36421,BA 400 - -BU - -A,SENIOR PROJECT IN BUSINESS,"Varamini, Hossein",Open,2/24,By Arrangement,4
36422,BA 400 - -BU - -B,SENIOR PROJECT IN BUSINESS,"Neuhauser, Hongsong",Open,5/19,By Arrangement,4
36852,BA 400 - -BU - -C,SENIOR PROJECT IN BUSINESS,"Greenberg, Bryan",Closed,11/30,By Arrangement,4
36853,BA 400 - -BU - -D,SENIOR PROJECT IN BUSINESS,"Riportella, Terrie",Open,12/18,By Arrangement,4
36854,BA 400 - -BU - -E,SENIOR PROJECT IN BUSINESS,"Ciocirlan, Cristina",Open,21/24,By Arrangement,4
36855,BA 400 - -BU - -F,SENIOR PROJECT IN BUSINESS,"Paul, Sanjay",Open,6/15,By Arrangement,4
36426,BA 473 - -BU - -A,INTERNSHIP IN BUSINESS,"Varamini, Hossein",Open,6/35,W (04:00pm-05:15pm) H 226,3
36427,BA 474 - -BU - -A,INTERNSHIP IN BUSINESS,"Varamini, Hossein",Open,15/24,W (04:00pm-05:15pm) H 226,4
36428,BA 475 - -BU - -A,BUSINESS CO-OPERATIVE FELLOWSHIP,"Melvin, Sean",Open,12/20,By Arrangement,0
36233,BA 490 - -BU - -A,ARTS ADMINISTRATION STRATEGY (FPA 490),"Gillis, Tamara",Open,1/18,W (09:00am-10:40am) Z 116,2
36430,BA 495 - -BU - -A,BUSINESS POLICY AND CORPORATE STRATEGY,"Sandu, Petru",Open,0/18,MW (02:00pm-03:20pm) H 213,4
36431,BA 497 - -BU - -A,INTERNATIONAL BUSINESS SEMINAR,"Varamini, Hossein",Open,0/18,TH (02:00pm-03:40pm) H 211,4
36432,BA 499 - -BU - -A,SEMINAR IN MANAGEMENT,"Ciocirlan, Cristina",Open,0/14,TH (11:00am-12:20pm) H 214,4
36433,EC 101 - -7SSC-C-A,SSC PRINCIPLES OF MACROECONOMICS,"Krichevskiy, Dmitriy",Open,8/35,MWF (12:30pm-01:40pm) H 213,4
36440,EC 101 - -7SSC-C-B,SSC PRINCIPLES OF MACROECONOMICS,"Krichevskiy, Dmitriy",Open,0/6,MWF (02:00pm-03:10pm) H 214,4
36434,EC 102 - -7SSC-C-A,SSC PRINCIPLES OF MICROECONOMICS,"Paul, Sanjay",Closed,2/3,TH (02:00pm-03:20pm) H 212,4
36435,EC 280 - -BU - -A,INTERNATIONAL ORGANIZATIONS SEMINAR,"Paul, Sanjay",Open,7/18,M (11:00am-12:15pm) H 213,2
36441,EC 301 - -BU - -A,INTERMEDIATE MICROECONOMICS,"Krichevskiy, Dmitriy",Open,6/10,MWF (09:30am-10:40am) H 211,4
36439,EC 309 - -BU - -A,INTRODUCTION TO MATHEMATICAL ECONOMICS,"Paul, Sanjay",Open,21/25,TH (12:30pm-01:50pm) H 213,4
36420,FBE384 - -BU - -A,THE FAMILY AS ENTREPRENEUR,"Sandu, Petru",Open,0/35,T (05:00pm-07:40pm) H 213,4
36622,FBE385 - -BU - -A,NEW VENTURE CREATION,"Schmid, Michael",Open,0/5,TH (02:00pm-03:20pm) H 107,4
36425,FBE450 - -BU - -A,ENTREPRENEURSHIP IN EMERGING ECONOMY,"Melvin, Sean",Open,9/10,01/14/2019 - 05/10/2019,4
36429,FBE494 - -BU - -A,FAMILY BUSINESS GOVERNANCE AND SUCCESSION PLANNING,"Sandu, Petru",Open,0/2,By Arrangement,4
36417,FIN325 - -BU - -A,CORPORATE FINANCE,"Neuhauser, Hongsong",Closed,4/15,TH (09:30am-10:50am) H 215,4
36418,FIN325 - -BU - -B,CORPORATE FINANCE,"Neuhauser, Hongsong",Open,1/5,TH (02:00pm-03:20pm) H 215,4
36423,FIN425 - -BU - -A,ADVANCED FINANCIAL MANAGEMENT,"Neuhauser, Hongsong",Closed,11/11,TH (12:30pm-01:50pm) H 111,4
36424,FIN426 - -BU - -A,STUDENT MANAGED INVESTMENT PORTFOLIO,"Neuhauser, Hongsong",Open,11/11,H (05:00pm-06:40pm) H 214,2
36359,CH 105 - -6NPS-C-A,NPS FUNDAMENTALS OF CHEMISTRY: INTRODUCTION TO MOLECULAR SCIENCE,"Toote, Lauren",Open,7/11,MWF (09:30am-10:30am) MU 232,4
36361,CH 109 - -6NPS-C-A,NPS INTRODUCTION TO FORENSIC SCIENCE,"Papez, Richard",Open,7/11,MWF (12:30pm-01:45pm) TH 105,4
36362,CH 110 - -6NPS- -A,NPS FORENSIC SCIENCE LABORATORY,"Papez, Richard",Closed,0/18,TH (06:00pm-08:00pm) MU 201,2
36363,CH 113 - -CH - -A,ORGANIC CHEMISTRY I,"MacKay, James",Closed,9/18,MWF (08:00am-09:00am) TH 105,4
36365,CH 113 - -CH - -B,ORGANIC CHEMISTRY I,"MacKay, James",Open,13/18,MWF (09:30am-10:30am) TH 105,4
36372,CH 214 - -CH - -A,CHEMICAL INSTRUMENTATION,"Toote, Lauren",Open,5/5,TH (09:30am-10:45am) MU 232,4
36374,CH 242 - -CH - -A,PHYSICAL INORGANIC CHEMISTRY,"Rood, Jeffrey",Open,15/35,MWF (09:30am-10:20am) L 152,4
36377,CH 292 - -CH - -A,INDEPENDENT RESEARCH IN CHEMISTRY,"MacKay, James",Open,1/24,By Arrangement,1
36378,CH 292 - -CH - -B,INDEPENDENT RESEARCH IN CHEMISTRY,"Rood, Jeffrey",Open,17/24,By Arrangement,1
36379,CH 292 - -CH - -C,INDEPENDENT RESEARCH IN CHEMISTRY,"Hagan, Thomas",Open,17/24,By Arrangement,1
36389,CH 324 - -CH - -A,BIOCHEMISTRY II,"Hagan, Thomas",Open,6/40,TH (12:30pm-01:50pm) MU 232,3
36380,CH 362 - -CH - -A,CHEMISTRY SEMINAR II,"Hagan, Thomas",Open,0/24,F (11:00am-12:15pm) MU 232,1
36635,CH 402 - -CH - -A,ADVANCED INORGANIC CHEMISTRY,"Rood, Jeffrey",Open,6/24,MWF (08:00am-08:50am) L 153,3
