"36101","93","32","Open","0","24","MWF","12:30pm-01:40pm","2"
"36102","94","32","Open","0","24","MWF","12:30pm-01:40pm","2"
"36103","94","32","Open","0","24","MWF","12:30pm-01:40pm","2"
"36106","95","37","Open","20","20","W","09:30am-10:40am","21"
"36678","96","38","Open","0","35","TH","09:15am-10:55am","1"
"36581","97","32","Open","0","24","MWF","12:30pm-01:40pm","2"
"36108","98","158","Open","14","24","W","05:00pm-08:00pm","48"
"36109","99","45","Closed","0","24","01/14/2019","","48"
"36110","100","43","Open","0","30","T","09:20am-10:55am","2"
"36121","101","43","Open","0","30","T","09:20am-10:55am","2"
"36122","102","42","Open","18","30","T","07:40am-09:15am","2"
"36112","103","41","Open","12","49","MWF","12:30pm-01:40pm","3"
"36123","104","44","Closed","26","30","MWF","02:00pm-03:10pm","21"
"36114","105","45","Closed","0","24","01/14/2019","","21"
"36120","106","42","Open","18","30","T","07:40am-09:15am","2"
"36124","107","46","Open","0","24","01/14/2019","","2"
"36115","108","42","Open","18","30","T","07:40am-09:15am","2"
"36117","109","41","Open","12","49","MWF","12:30pm-01:40pm","3"
"36118","110","46","Open","0","24","01/14/2019","","3"
"36125","110","46","Open","0","24","01/14/2019","","3"
"36119","111","41","Open","12","49","MWF","12:30pm-01:40pm","3"
"36857","111","41","Open","12","49","MWF","12:30pm-01:40pm","3"
"36290","112","46","Open","0","24","01/14/2019","","3"
"36873","112","46","Open","0","24","01/14/2019","","3"
"36274","113","45","Closed","0","24","01/14/2019","","3"
"36275","114","43","Open","0","30","T","09:20am-10:55am","2"
"36276","115","44","Closed","26","30","MWF","02:00pm-03:10pm","21"
"36278","116","41","Open","12","49","MWF","12:30pm-01:40pm","3"
"36279","117","44","Closed","26","30","MWF","02:00pm-03:10pm","21"
"36287","118","41","Open","12","49","MWF","12:30pm-01:40pm","3"
"36280","119","42","Open","18","30","T","07:40am-09:15am","2"
"36281","120","41","Open","12","49","MWF","12:30pm-01:40pm","3"
"36282","121","48","Open","12","30","01/14/2019","","3"
"36284","122","48","Open","12","30","01/14/2019","","3"
"36285","123","50","Open","0","35","TH","09:20am-10:55am","21"
"36291","123","50","Open","0","35","TH","09:20am-10:55am","21"
"36286","124","49","Open","0","35","TH","02:00pm-03:40pm","3"
"36289","134","0","Open","17","24","03/18/2019","","3"
"36564","127","48","Open","12","30","01/14/2019","","3"
"36443","131","49","Open","0","35","TH","02:00pm-03:40pm","3"
"35903","132","49","Open","0","35","TH","02:00pm-03:40pm","3"
"36444","133","0","Open","17","24","03/18/2019","","3"
"36040","140","20","Open","5","26","By","","3"
"36043","141","69","Open","7","18","M","11:00am-12:15pm","22"
"36044","142","52","Open","0","35","By","","22"
"36046","143","69","Open","7","18","M","11:00am-12:15pm","22"
"36047","143","69","Open","7","18","M","11:00am-12:15pm","22"
"36048","144","0","Open","17","24","03/18/2019","","22"
"36049","145","0","Open","17","24","03/18/2019","","22"
"36051","146","53","Open","2","24","By","","22"
"36053","147","0","Open","17","24","03/18/2019","","22"
"36097","149","52","Open","0","35","By","","22"
"36055","150","53","Open","2","24","By","","22"
"36056","151","65","Open","0","14","TH","11:00am-12:20pm","1"
"36057","152","65","Open","0","14","TH","11:00am-12:20pm","1"
"36058","153","65","Open","0","14","TH","11:00am-12:20pm","1"
"36059","154","65","Open","0","14","TH","11:00am-12:20pm","1"
"36062","155","53","Open","2","24","By","","1"
"36063","156","52","Open","0","35","By","","1"
"36064","157","52","Open","0","35","By","","1"
