35921,ART402 - -FP - -A,ADVANCED STUDIES IN DRAWING,"Geib, Jeffrey",Open,2-Feb,TH (02:00pm-03:20pm) ST 108,4
36654,ART403 - -FP - -A,ADVANCED STUDIES IN PAINTING,"Arnold, Kristi",Open,5-May,MW (12:30pm-01:45pm) ST 109,4
35929,ART406 - -FP - -A,ADVANCED DIGITAL ARTS,"Eberly, Linda",Open,18/18,MW (05:00pm-06:15pm) ST 210,4
35931,ART470 - -FP - -A,INTERNSHIP IN FINE ARTS,"Ricci, Patricia",Open,5-May,By Arrangement,4
35923,ART491 - -FP - -A,SENIOR EXHIBITION,"Friedly, Milton",Open,5-May,TH (09:30am-10:45am),2
35924,ART499A- -FP - -A,ARCHITECTURAL DESIGN STUDIO I (EGR 499A),"Ricci, Patricia",Open,11-Nov,W (04:00pm-05:40pm) E 273,2
35926,ART499B- -FP - -A,ARCHITECTURAL DESIGN STUDIO II EGR 499B),"Ricci, Patricia",Open,11-Nov,W (04:00pm-05:40pm) E 273,2
36292,ASL105 - -2PLO-C-A,PLO AMERICAN SIGN LANGUAGE,"Conrad, Karen",Open,24/24,M (05:00pm-08:00pm) N 127,4
36399,BA 101 - -BU - -A,BUSINESS AND SOCIETY,"Melvin, Sean",Open,35/35,TH (12:30pm-01:50pm) H 212,4
36400,BA 105 - -BU - -A,MANAGERIAL COMMUNICATION AND STUDENT CAREER PREPAREDNESS,"MacKenzie, Tina",Open,94/94,W (09:30am-10:40am) H 212,1
36403,BA 197 - -BU - -A,INTRODUCTION TO INTERNATIONAL BUSINESS,"Varamini, Hossein",Open,35/35,TH (09:15am-10:55am) H 214,4
36404,BA 215 - -BU - -A,PRINCIPLES OF MARKETING,"Staff,",Open,35/35,MW (09:30am-10:50am) H 213,4
36405,BA 248 - -BU - -A,QUANTITATIVE METHODS/OPERATIONS MANAGEMENT (EGR 248),"Angelis, John",Open,35/35,MWF (09:30am-10:40am) H 214,4
36407,BA 248 - -BU - -B,QUANTITATIVE METHODS/OPERATIONS MANAGEMENT (EGR 248),"Angelis, John",Open,24/24,MWF (12:30pm-01:40pm) H 114,4
36409,BA 257 - -BU - -A,EXPORTING AND IMPORTING,"Holobetz, Basil",Open,35/35,T (07:40am-09:15am) H 211,2
36410,BA 258 - -BU - -A,GLOBAL BUSINESS NEGOTIATIONS,"Holobetz, Basil",Open,35/35,T (09:20am-10:55am) H 211,2
36411,BA 265 - -BU - -A,MANAGEMENT AND ORGANIZATIONAL BEHAVIOR,"Angelis, John",Open,25/25,MWF (02:00pm-03:10pm) H 212,4
36412,BA 271 - -BU - -A,STRATEGIC MANAGERIAL DECISION- MAKING AND CRITICAL ANALYSIS II,"Ozkanca, Kemal",Open,20/20,01/14/2019 - 05/10/2019,2
36413,BA 271 - -BU - -B,STRATEGIC MANAGERIAL DECISION- MAKING AND CRITICAL ANALYSIS II,"Ozkanca, Kemal",Open,20/20,01/14/2019 - 05/10/2019,2
36414,BA 271 - -BU - -C,STRATEGIC MANAGERIAL DECISION- MAKING AND CRITICAL ANALYSIS II,"Ozkanca, Kemal",Open,20/20,01/14/2019 - 05/10/2019,2
36442,BA 314 - -BU - -A,SALES AND SALES MANAGEMENT,"Staff,",Open,24/24,TH (02:00pm-03:40pm) H 114,4
36419,BA 330 - -BU - -A,LEGAL ENVIRONMENT OF BUSINESS,"Melvin, Sean",Open,35/35,TH (09:20am-10:55am) H 212,4
36241,BA 347 - -BU - -A,GLOBAL SUPPLY CHAIN MANAGEMENT (EGR 347),"Traub, Tod",Open,30/30,TH (06:00pm-07:20pm) E 164,4
36421,BA 400 - -BU - -A,SENIOR PROJECT IN BUSINESS,"Varamini, Hossein",Open,5-May,By Arrangement,4
36422,BA 400 - -BU - -B,SENIOR PROJECT IN BUSINESS,"Neuhauser, Hongsong",Open,5-May,By Arrangement,4
36426,BA 473 - -BU - -A,INTERNSHIP IN BUSINESS,"Varamini, Hossein",Open,5-May,W (04:00pm-05:15pm) H 226,3
